[0.186s] Invoking command in '/home/robotrodeo/capstone/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/robotrodeo/capstone/install/encoder:/opt/ros/humble /usr/bin/cmake --build /home/robotrodeo/capstone/build/articubot_one -- -j4 -l4
[2.054s] Invoked command in '/home/robotrodeo/capstone/build/articubot_one' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/robotrodeo/capstone/install/encoder:/opt/ros/humble /usr/bin/cmake --build /home/robotrodeo/capstone/build/articubot_one -- -j4 -l4
[2.268s] Invoking command in '/home/robotrodeo/capstone/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/robotrodeo/capstone/install/encoder:/opt/ros/humble /usr/bin/cmake --install /home/robotrodeo/capstone/build/articubot_one
[2.326s] -- Install configuration: ""
[2.335s] -- Execute custom install script
[2.347s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/ball_tracker_params_robot.yaml
[2.351s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/ball_tracker_params_sim.yaml
[2.360s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/drive_bot.rviz
[2.363s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/empty.yaml
[2.364s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/gaz_ros2_ctl_use_sim.yaml
[2.366s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/gazebo_params.yaml
[2.368s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/joystick.yaml
[2.370s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/main.rviz
[2.371s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/map.rviz
[2.372s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/mapper_params_online_async.yaml
[2.374s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/my_controllers.yaml
[2.377s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/nav2_params.yaml
[2.383s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/twist_mux.yaml
[2.384s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/config/view_bot.rviz
[2.390s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/description/camera.xacro
[2.391s] -- Up-to-date symlink: /home/robotrodeo/capstone/install/articubot_one/share/articubot_one/description/depth_camera.xacro
